proportion
0.012,0.014,0.006,0.008,0.018,0.018,0.038,0.062,0.094,0.108,0.106,0.062,0.112,0.15,0.168,0.176,0.238,0.292,0.32,0.396,
0.02,0.016,0.028,0.058,0.07,0.084,0.12,0.156,0.192,0.222,0.278,0.382,0.496,0.546,0.598,0.662,0.682,0.738,0.784,0.81,
0.016,0.01,0.008,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.014,0.03,0.032,0.058,0.042,0.03,0.03,0.046,0.022,0.032,0.048,0.05,0.054,0.056,0.044,0.052,0.058,0.054,0.056,0.064,
0.004,0.01,0.014,0.012,0.016,0.01,0.01,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,
0.008,0.01,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.054,0.088,0.128,0.222,0.304,0.418,0.532,0.614,0.726,0.766,0.77,0.812,0.908,0.95,0.966,0.986,0.992,1,1,1,
0.048,0.062,0.038,0.034,0.048,0.052,0.078,0.118,0.136,0.136,0.204,0.304,0.286,0.336,0.372,0.37,0.398,0.418,0.44,0.508,
0.074,0.078,0.08,0.118,0.178,0.282,0.324,0.396,0.436,0.462,0.532,0.636,0.696,0.75,0.748,0.82,0.872,0.918,0.956,0.958,
0.036,0.074,0.1,0.136,0.172,0.23,0.324,0.374,0.472,0.498,0.508,0.542,0.618,0.674,0.692,0.73,0.7,0.746,0.798,0.874,
0.05,0.068,0.062,0.09,0.134,0.15,0.238,0.3,0.35,0.466,0.488,0.592,0.652,0.736,0.788,0.86,0.906,0.9,0.922,0.964,
0.026,0.072,0.134,0.144,0.226,0.276,0.328,0.39,0.428,0.446,0.522,0.612,0.664,0.772,0.8,0.832,0.874,0.874,0.922,0.936,
0.032,0.032,0.062,0.128,0.206,0.292,0.352,0.44,0.48,0.556,0.614,0.708,0.808,0.814,0.838,0.87,0.928,0.95,0.97,0.974,
0.028,0.058,0.084,0.126,0.174,0.208,0.276,0.438,0.516,0.648,0.682,0.776,0.814,0.852,0.93,0.95,0.978,0.988,0.984,0.976,
0.072,0.102,0.124,0.152,0.214,0.346,0.438,0.558,0.648,0.688,0.716,0.758,0.738,0.79,0.786,0.766,0.75,0.798,0.84,0.876,
0.032,0.03,0.034,0.012,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.35,0.36,0.388,0.518,0.582,0.65,0.762,0.824,0.856,0.926,0.948,0.984,0.998,0.998,1,1,1,1,1,1,
0.38,0.404,0.484,0.596,0.654,0.72,0.768,0.838,0.876,0.914,0.914,0.94,0.956,0.96,0.972,0.984,1,1,1,1,
0.352,0.434,0.522,0.638,0.696,0.77,0.828,0.876,0.934,0.982,1,1,1,1,1,1,1,1,1,1,
0.354,0.4,0.436,0.56,0.722,0.776,0.846,0.91,0.916,0.948,0.95,0.93,0.978,0.98,0.98,1,1,1,1,1,
0.418,0.446,0.524,0.554,0.572,0.648,0.684,0.778,0.862,0.89,0.936,0.964,0.964,0.968,0.968,0.944,0.974,0.978,0.982,0.972,
0.37,0.354,0.446,0.626,0.724,0.782,0.794,0.832,0.836,0.882,0.908,0.95,0.962,0.96,0.968,0.96,0.982,0.978,0.97,0.988,
0.352,0.374,0.392,0.5,0.54,0.642,0.706,0.77,0.83,0.852,0.876,0.87,0.906,0.924,0.958,0.982,0.994,0.996,0.998,1,
0.446,0.51,0.62,0.67,0.742,0.808,0.88,0.902,0.894,0.948,0.974,0.99,0.99,0.994,0.996,1,1,1,1,1,
0.38,0.362,0.388,0.43,0.538,0.672,0.806,0.86,0.916,0.944,0.972,0.972,0.986,0.994,1,1,1,1,1,1,
0.368,0.412,0.52,0.582,0.622,0.74,0.818,0.872,0.9,0.912,0.942,0.948,0.986,0.988,0.988,0.998,1,1,1,1,

0.334,0.402,0.51,0.576,0.664,0.724,0.826,0.846,0.91,0.94,0.97,0.984,0.982,0.992,1,1,1,1,1,1,
0.214,0.234,0.236,0.286,0.412,0.506,0.596,0.71,0.778,0.8,0.862,0.914,0.948,0.974,0.982,0.994,0.996,1,1,1,
0.286,0.358,0.512,0.656,0.75,0.812,0.88,0.898,0.904,0.926,0.956,0.976,0.978,0.984,0.996,0.992,0.998,1,1,1,
0.264,0.326,0.44,0.536,0.616,0.746,0.784,0.822,0.876,0.922,0.93,0.954,0.972,0.978,0.976,0.978,0.968,0.96,0.968,0.956,
0.286,0.326,0.4,0.516,0.632,0.676,0.734,0.784,0.792,0.824,0.842,0.87,0.882,0.904,0.882,0.922,0.928,0.93,0.98,0.982,
0.244,0.302,0.454,0.536,0.646,0.74,0.806,0.838,0.9,0.942,0.918,0.964,0.978,0.992,1,1,1,1,1,1,
0.31,0.364,0.528,0.568,0.648,0.75,0.83,0.868,0.892,0.904,0.9,0.936,0.966,0.978,0.978,0.988,0.992,0.99,0.994,0.992,
0.31,0.32,0.388,0.52,0.672,0.79,0.832,0.868,0.916,0.954,0.954,0.956,0.958,0.958,0.976,0.968,0.97,0.98,0.984,0.986,
0.274,0.334,0.482,0.602,0.702,0.748,0.778,0.822,0.894,0.938,0.952,0.966,0.986,0.99,0.998,1,1,1,1,1,
0.234,0.278,0.384,0.434,0.522,0.558,0.612,0.614,0.65,0.706,0.8,0.852,0.894,0.906,0.93,0.966,0.958,0.984,0.982,0.976,

0.88,0.936,0.978,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.872,0.9,0.954,0.988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.89,0.91,0.962,0.982,0.984,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.878,0.902,0.92,0.976,0.996,0.992,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.886,0.93,0.974,0.994,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.864,0.91,0.95,0.974,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.862,0.898,0.926,0.972,0.992,0.992,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.86,0.906,0.972,0.986,0.998,0.996,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,
