gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
196,34,0.162109,0.00606593,0.107143,0.158163,0.193878,0.0133333,0.0131556,0,0,0,22
197,35,0.162234,0.00603602,0.106599,0.162437,0.192893,0.0133333,0.0131556,0,0,0,23
198,33,0.1633,0.00596492,0.106061,0.156566,0.191919,0.0133333,0.0131556,0,0,0,17
199,31,0.163015,0.00589766,0.115578,0.160804,0.190955,0.0133333,0.0131556,0,0,0,17
200,33,0.163067,0.00577926,0.105,0.155,0.19,0.0133333,0.0131556,0,0,0,11
201,34,0.162852,0.00574331,0.114428,0.154229,0.189055,0.0133333,0.0131556,0,0,0,12
202,35,0.16231,0.00572251,0.113861,0.158416,0.19802,0.0133333,0.0131556,0,0,0,11
203,35,0.162102,0.00560342,0.1133,0.157635,0.197044,0.0133333,0.0131556,0,0,0,11
204,34,0.161569,0.00554366,0.112745,0.156863,0.191176,0.0133333,0.0131556,0,0,0,13
205,33,0.161561,0.00548814,0.112195,0.156098,0.190244,0.0133333,0.0131556,0,0,0,12
206,33,0.161618,0.00544492,0.11165,0.15534,0.194175,0.0133333,0.0131556,0,0,0,13
207,33,0.161159,0.00536871,0.111111,0.154589,0.193237,0.0133333,0.0131556,0,0,0,19
208,40,0.160897,0.00531702,0.110577,0.153846,0.192308,0.0133333,0.0131556,0,0,0,17
209,38,0.160893,0.00530987,0.110048,0.157895,0.191388,0.0133333,0.0131556,0,0,0,12
210,41,0.160635,0.00529907,0.109524,0.157143,0.190476,0.0133333,0.0131556,0,0,0,19
211,39,0.160948,0.00519152,0.113744,0.156398,0.189573,0.0133333,0.0131556,0,0,0,19
212,34,0.160818,0.00514784,0.113208,0.15566,0.188679,0.0133333,0.0131556,0,0,0,18
213,33,0.160501,0.00510757,0.112676,0.15493,0.187793,0.0133333,0.0131556,0,0,0,16
214,34,0.160312,0.0050275,0.11215,0.154206,0.186916,0.0133333,0.0131556,0,0,0,16
215,35,0.160124,0.00499018,0.111628,0.153488,0.186047,0.0133333,0.0131556,0,0,0,17
216,34,0.159691,0.00496935,0.111111,0.152778,0.185185,0.0133333,0.0131556,0,0,0,12
217,32,0.159201,0.00494853,0.110599,0.147465,0.184332,0.0133333,0.0131556,0,0,0,10
218,38,0.15945,0.0048738,0.114679,0.151376,0.183486,0.0133333,0.0131556,0,0,0,19
219,38,0.16,0.00486475,0.114155,0.150685,0.182648,0.0133333,0.0131556,0,0,0,25
220,35,0.160485,0.0048391,0.113636,0.15,0.186364,0.0133333,0.0131556,0,0,0,21
221,33,0.161207,0.00482315,0.113122,0.149321,0.180995,0.0133333,0.0131556,0,0,0,21
222,33,0.161682,0.00475263,0.117117,0.153153,0.189189,0.0133333,0.0131556,0,0,0,20
223,32,0.162511,0.00468933,0.116592,0.156951,0.192825,0,0,0,0,0,22
224,32,0.162321,0.00467509,0.116071,0.15625,0.1875,0.0133333,0.0131556,0,0,0,21
225,30,0.163081,0.00467172,0.12,0.155556,0.186667,0.0133333,0.0131556,0,0,0,23
226,32,0.163422,0.00460821,0.119469,0.159292,0.19469,0.0133333,0.0131556,0,0,0,23
227,32,0.163994,0.00462268,0.118943,0.15859,0.193833,0.0133333,0.0131556,0,0,0,19
228,31,0.164094,0.00460967,0.118421,0.157895,0.192982,0.0133333,0.0131556,0,0,0,14
229,33,0.163726,0.00462761,0.117904,0.157205,0.19214,0.0133333,0.0131556,0,0,0,12
230,33,0.164174,0.00456249,0.117391,0.16087,0.191304,0.0133333,0.0131556,0,0,0,15
231,34,0.164618,0.00448916,0.116883,0.160173,0.190476,0.0133333,0.0131556,0,0,0,14
232,34,0.164598,0.00459705,0.116379,0.159483,0.189655,0.0133333,0.0131556,0,0,0,15
233,29,0.16475,0.0045342,0.11588,0.158798,0.193133,0.0133333,0.0131556,0,0,0,13
234,30,0.164501,0.00446849,0.115385,0.15812,0.192308,0.0133333,0.0131556,0,0,0,13
235,31,0.164028,0.00441746,0.114894,0.157447,0.191489,0.0133333,0.0131556,0,0,0,12
236,33,0.163616,0.00436986,0.114407,0.15678,0.190678,0.0133333,0.0131556,0,0,0,10
237,37,0.163376,0.00437848,0.118143,0.156118,0.194093,0.0133333,0.0131556,0,0,0,12
238,40,0.163193,0.00433728,0.117647,0.155462,0.189076,0.0133333,0.0131556,0,0,0,15
239,40,0.162845,0.00430747,0.117155,0.154812,0.188285,0.0133333,0.0131556,0,0,0,17
